Plant,Date,Non- Compliance Group,Species,Type,Compliance Level,Non Compliance,Description,Action
[Plant Name & Number],09/05/2016,Lairage design and maintenance,Poultry: Poultry,Protection from adverse weather conditions/ thermal stress/ injury,3,Poor Lairage maintenance,side door in lairage hanging area is damaged at the bottom. This resulted in several birds escaping to the yard during hanging operations.,ENF verbal advice
[Plant Name & Number],09/05/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Overgrown hoof,Bovine animal presenting overgrown hooves,APHA-Animal Health Office informed
[Plant Name & Number],10/05/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Not Applicable,Late pregnancy,TS-Trading Standards informed
[Plant Name & Number],10/05/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,"pens flooded, animals kept overnight",ENF written advice
[Plant Name & Number],10/05/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Foot rot in left hind leg. Animal unable to maintain weight on this leg.,APHA-Animal Health Office informed
[Plant Name & Number],11/05/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,One bovine animal having the left hind leg caught on the gate of the trailer resulting in a bleeding wound.,TS-Trading Standards informed
[Plant Name & Number],12/05/2016,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Broken leg,"A pig was identified to have a broken leg in the morning of 12.05.2016. As seen on CCTV footage available the animals were unloaded the day before (11.05.16) from 17.00. One of the animals from the slap mark [Name] had difficulties to get up in the unloading ramp, the pig was not moving and in ""dog sitting"" position until the whole lorry was emptied. After this when moving could not bear weight on his hid leg. The likeliness of a fracture was noticed at ante mortem when I arrived to the slaughterhouse and confirmed at PMI by the MHI team and myself. FBO was instructed to shot and bled the animal immediately.",TS-Trading Standards informed
[Plant Name & Number],12/05/2016,Lairage operation,Red Meat: Pigs,Procedures for protecting animal welfare,4,Injured animals not dealt with promptly,"AWO not taking specific measures to protect welfare needs of the animals as a pig was unloaded on 11.05.16 at 17:15  with a fracture on its hind leg and was no shot immediately on welfare grounds. I had to instruct them to shot and bled the animal on 12.05.2016 at 07:40 when observed at AMI. FBO argued that in CCTV footage the animal was putting weight on its leg. After my investigation of CCTV recording the animal had difficulties to get up in the unloading ramp, was not moving and in ""dog sitting"" position until the whole lorry was emptied. After this when moving could not bear weight on his hid leg at anytime, it was obvious that the welfare of the animal was being compromised. FSS notebook fulfilled and witnesses available, pictures and sealed leg frozen as evidence.",ENF Welfare Enforcement Notice
[Plant Name & Number],16/05/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"-Load 10 and 13 house 10: broilers identified on PMI with FPD
:95% score 2,5%score 1, 0% score 0.-Also later load 7 and 11 house
2  broilers identified on PMI with FPD 95%score 2, 5% score 1, 0% score 0 -load 13 from house 3: broilers identified on PMI with FPD: 97% score 2, 2% score 1, 1% score 0. Pictures were taken as evidence. Frozen feet samples placed in freezer in case required.",APHA-Animal Health Office informed
[Plant Name & Number],17/05/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,large calf found at PMI,TS-Trading Standards informed
[Plant Name & Number],17/05/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,Large calf - late stage of pregnancy,TS-Trading Standards informed
[Plant Name & Number],17/05/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"[Name] 8 found at PMI (100 birds per check)with 75% score 2, 20% score 1 and 5% score 0. Added to the report sent yesterday
16.05.16 to APHA as they were all related to the same farm but different houses. Pictures taken and foot pads kept frozen as evidence.",TS-Trading Standards informed
[Plant Name & Number],18/05/2016,On farm welfare,Poultry: Poultry,Catching damage,3,Bruising/ fractures,returned to farm bruisings,TS-Trading Standards informed
[Plant Name & Number],18/05/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Fractures/ bruising,on 15.5. due to major breakdown 3 loads were returned to farm and birds from house 2 have been slaughtered today with 10-20 % old green bruisings/fractures mainly of wings/legs;0.78 % condemned as cat 2 due to secondary lesions(infected joints),APHA-Animal Health Office informed
[Plant Name & Number],19/05/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Calve noticed inside of the uterus at the post mortem inspection,APHA-Animal Health Office informed
[Plant Name & Number],19/05/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Broken leg,"weight bearing on 3 legs only, signs of pain",TS-Trading Standards informed
[Plant Name & Number],19/05/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,large calf - late stage of pregnancy,TS-Trading Standards informed
[Plant Name & Number],19/05/2016,Welfare on transport,Red Meat: Cattle,Stocking density on the vehicle,3,Overcrowded vehicle,5 large bulls,TS-Trading Standards informed
[Plant Name & Number],23/05/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,,TS-Trading Standards informed
[Plant Name & Number],23/05/2016,Transportation,Poultry: Poultry,Maintenance of crates and modules,3,Crates poorly maintained,"Some crates in need of maintenance. No welfare issues observed today, although action is needed to ensure damage crates could not lead to welfare issues.",ENF verbal advice
[Plant Name & Number],27/05/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,2 large calf close to the end of gestation period,TS-Trading Standards informed
[Plant Name & Number],31/05/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Other,Full term pregnancy,TS-Trading Standards informed
[Plant Name & Number],31/05/2016,Lairage design and maintenance,Poultry: Poultry,Protection from adverse weather conditions/ thermal stress/ injury,3,Inadequate ventilation,free-standing fan off and couldn`t switched on as plug not working/no extension cable available,ENF verbal advice
[Plant Name & Number],31/05/2016,Lairage operation,Poultry: Poultry,"Temporary CoCs
/ CoCs (pre Jan 2013)",3,Staff have no valid licences,night shift WSO without temporary CoC/CoC,ENF verbal advice
[Plant Name & Number],31/05/2016,Lairage operation,Poultry: Poultry,Trained welfare personnel,3,Other,appointed WSO night shift without CoC/temporary CoC,ENF verbal advice
[Plant Name & Number],31/05/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,"4 animals sent with a VET CERTIFICATE about the lameness that all of them had (bad lame in all of them, they didn't walk properly and the joints are abnormal and bigger).
TS talked with the farmer but due to the vet certificate, they can't do anything else.",TS-Trading Standards informed
[Plant Name & Number],01/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Not Applicable,late pregnancy,TS-Trading Standards informed
[Plant Name & Number],01/06/2016,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Injured animals,broken leg,TS-Trading Standards informed
[Plant Name & Number],01/06/2016,Handling and restraint,Red Meat: Sheep,Handling in race to stun pen,3,Other,Lariage operative having an intimidating and vicious behaviour towards one sheep in the race.,ENF verbal advice
[Plant Name & Number],01/06/2016,Lairage design and maintenance,Red Meat: Sheep,Maintenance of the lairage,3,Different maintenance problems,pens flooded,ENF verbal advice
[Plant Name & Number],02/06/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Other,Pen 13 flooded due to a broken pipe in the sink,ENF written advice
[Plant Name & Number],03/06/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Bruised,4 animals from the same farmer [Name] presenting at post mortem inspection several bruising. Two of them specially big.,TS-Trading Standards informed
[Plant Name & Number],06/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,13 Fully developed calves from [Name]. TS came on site after OV reported the issue by phone.,TS-Trading Standards informed
[Plant Name & Number],07/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Bovine animal from [Name] with a fully developed calf at PMI. Animal from the same batch reported to TS yesterday 06/06/16 regarding late stage of pregnancy. [ID Number],TS-Trading Standards informed
[Plant Name & Number],07/06/2016,Lairage operation,Red Meat: Cattle,Procedures for protecting animal welfare,4,Other,Bovine animal with the neck caught between gates in the passport checking point it wasn't shoot to avoid the suffering until my second advice.,ENF written advice
[Plant Name & Number],08/06/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Multiple stuns,5 shots given to one cattle,ENF written advice
[Plant Name & Number],08/06/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Ingrown horn/s,[ID Number] DOB 22/7/13 male [Name & ID Number] ingrown horn into the muscle,APHA-Animal Health Office informed
[Plant Name & Number],10/06/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,large calf clos to termination of gestation period,TS-Trading Standards informed
[Plant Name & Number],15/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,last 10% of prenancy,TS-Trading Standards informed
[Plant Name & Number],15/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Injured animals,"1 cattle arrived with the vet certificate as fit for transport, although did not bear weight on 4 feet. It was struggling during unloading to get down the trailer. The animal did not appear to suffer as such, more of being ""unstable on 3 feet"". case reported for advice, not an investigation.",TS-Trading Standards informed
[Plant Name & Number],15/06/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Injured animals,"Farmer has brought 3 sheep, one of them had a broken leg, of which he knew while loading animals on the trailer. He claims he wasn't aware that he could not transport injured animals.",TS-Trading Standards informed
[Plant Name & Number],17/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,,TS-Trading Standards informed
[Plant Name & Number],17/06/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Ineffective stun/signs of recovery after stunning,"At approx. 09:00, during the cattle stunning, last cattle has release too soon from the stunning box, before assessing the effectiveness of stunning. The cattle was showing signs of recovery, the OV asked the FBO operative to re-stunn the animal. The cattle has recovered,  stand up and started walking through the slaughterhouse. After 1-2 min. the cattle has been re-stunned. The issue was discussed with the FBO (S. Carlisle) and verified on the FBO footage.",ENF written advice
[Plant Name & Number],17/06/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Animal in labour in lairage,APHA-Animal Health Office informed
[Plant Name & Number],17/06/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,One cattle was unable to keep weight on right back leg.,APHA-Animal Health Office informed
[Plant Name & Number],20/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf identified at post-mortem inspection,TS-Trading Standards informed
[Plant Name & Number],20/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"Today I had four unborn calves, three of them under 90% but one in the last tenth of pregnancy.
The length from rump to crown was 87 cm, about 255 days of pregnancy, all external organs well developed.
The kill number was [Number], the ID of the mother [ID Number], belonging to [Name & Address].
Both the legs of one side have been collected.
Referred to TS officer, who will eventually liaise with APHA",TS-Trading Standards informed
[Plant Name & Number],20/06/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Multiple stuns,bulls being killed operator decided to give additional stun on safety grounds,None Applicable
[Plant Name & Number],20/06/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,large calf close to termination of gestation period,TS-Trading Standards informed
[Plant Name & Number],20/06/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Open wound with purulent-necrotic tissue,APHA-Animal Health Office informed
[Plant Name & Number],21/06/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,4,Different maintenance problems,Bovine got its feet trapped in a fence at the lairage and it required to be shot and bleed on the pen,ENF verbal advice
[Plant Name & Number],21/06/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Lame bovine animal delivered with vet certificate and found at PMI with fracture of ischium,APHA-Animal Health Office informed
[Plant Name & Number],21/06/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Bruised,Severe bruising foreleg,TS-Trading Standards informed
[Plant Name & Number],22/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"two calves from late pregnancies, all brought by [Name & Address].
One was [ID Number], born 10/08/07, length 87 cm, the other was [ID Number], born on 23/03/10, length 83 cm.",TS-Trading Standards informed
[Plant Name & Number],22/06/2016,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Broken leg,Driver pushing and dragging animal by its tail,TS-Trading Standards informed
[Plant Name & Number],27/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Two beasts found during post-mortem inspection in last 10 % of pregnancy,TS-Trading Standards informed
[Plant Name & Number],27/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"a cattle in last tenth percent of pregnancy in plant [Number]. It belonged to [Name & ID Number]
The tranporter was [Name & Address]
The calf was 97 cm long, 20 cm foot circumference, well developed hair and external organs.
The legs have been collected",TS-Trading Standards informed
[Plant Name & Number],28/06/2016,Handling and restraint,Red Meat: Cattle,Restraint,3,Animals not properly restraint,animal escaped from stunning box,ENF verbal advice
[Plant Name & Number],29/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,last 10% of gestation,APHA-Animal Health Office informed
[Plant Name & Number],29/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"[ID Number], late pregnancy, 90 cm length, farmer [Name & Address].",TS-Trading Standards informed
[Plant Name & Number],29/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"[ID Number], farmer [Name & Address], length around 87 cm, external organs fully developed",TS-Trading Standards informed
[Plant Name & Number],29/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"[ID Number & Name], lenght 93 cm, well developed teeth and external organs",TS-Trading Standards informed
[Plant Name & Number],30/06/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"one cattle in last stage of pregnancy, [ID Number], length of the foetus 97 cm, external organs well developed, erupted teeth, from [Address].",TS-Trading Standards informed
[Plant Name & Number],01/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,During PMI fully grown calf found,TS-Trading Standards informed
[Plant Name & Number],01/07/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Maintenance of guns,3,Not Applicable,4 Cattle required to be shot twice as the stunning gun was not maintained  properly,ENF verbal advice
[Plant Name & Number],04/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"one late pregnancy in plant [Number].The calf was 85 cm long, external organs well developed, erupted teeth.The cattle belonged to [Name & ID Number], Holstein Friesian, dob 17/12/2010.The legs and the eartag of the mother have been collected, the passport copied.",TS-Trading Standards informed
[Plant Name & Number],04/07/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,ANIMAL PRESENTED WITH LAMENESS AND SWOLLEN FOOT. PMI REVEALED OLD INJURY WITH HIGH POSSIBILITY OF FRACTURE AND OSTEOMYELITIS,TS-Trading Standards informed
[Plant Name & Number],05/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"one late pregnancy in plant [Number].
The calf was 92 cm long, external organs well developed, erupted teeth.
The cattle belonged to [Name], own transport, {Address] The ID was [ID Number], dob 17/05/2008, SIMX.",TS-Trading Standards informed
[Plant Name & Number],05/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Weak animals,2 cattle one down in vehicle and another in loading bay,TS-Trading Standards informed
[Plant Name & Number],06/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"one late pregnancy in plant [Number].
The calf was 90 cm long, external organs well developed, erupted teeth.[Address & ID Number].
The ID was [ID Number],born on 24/07/2009, .
The legs of the foetus and the eartag of the mother have been collected, the passport copied.",TS-Trading Standards informed
[Plant Name & Number],06/07/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Ingrown horn/s,Ingrown horn protruding the skin and bone,APHA-Animal Health Office informed
[Plant Name & Number],07/07/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Animal with late stage pregnancy and septic womb down in lairage,APHA-Animal Health Office informed
[Plant Name & Number],08/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"ne late pregnancy in plant [Number].
The calf was 98 cm long, external organs well developed, erupted teeth.
The cattle belonged to [Name & ID Number] .
The legs of the foetus and the eartag of the mother have been collected, the passport copied.",TS-Trading Standards informed
[Plant Name & Number],08/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Not Applicable,,None Applicable
[Plant Name & Number],08/07/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,4,Other,Animal with severe infection and bony necrosis around and inside the eye socket. No veterinary treatment provided. Farmer giving false statements.,TS-Trading Standards informed
[Plant Name & Number],11/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf found at PMI,TS-Trading Standards informed
[Plant Name & Number],11/07/2016,Bleeding,Red Meat: Cattle,Stun to bleeding time,4,Stun to bleed time too long,"Problems noted with the crane used to hoist cattle resulted in extended stun to bled animals for 3 animals, with kill number 28 showing signals of recovery and requiring double stunning",ENF written advice
[Plant Name & Number],11/07/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,"This animal was delivered to the abattoir by [Name] at 12:21 and was observed to be in reasonable condition on arrival. [Name] completed an Additional Food Chain Information stating that ""this cow had a cubicle injury to her right shoulder just above her right foreleg no treatment given.
However later in the afternoon the animal was reported as looking unwell and in sternal recumbancy. At 06:30 when I was completing my early morning ante-mortem checks the animal was in lateral recumbancy and in obvious distress. The Animal Welfare Officer was informed and the animal was humanely slaughtered in the lairage and transferred to the cattle slaughter line. Photographs and videos of the animal were taken before slaughter.
At post-mortem examination there was a soft tissue injury of the right foreleg as [Name] had described. However the animal had a long standing kidney infection and evidence of a recent bowel lesion resulting in a peritonitis which would be the likely cause of the animal becomming unwell in the lairage. The post mortem judgement will be that the carcase will not be fit for human consumption.",TS-Trading Standards informed
[Plant Name & Number],12/07/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Multiple stuns,6shots given to the same animal,ENF written advice
[Plant Name & Number],13/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI,TS-Trading Standards informed
[Plant Name & Number],14/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,2 Fully developed calves at PMI. Same keeper,TS-Trading Standards informed
[Plant Name & Number],15/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,full developed calf,TS-Trading Standards informed
[Plant Name & Number],18/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI,TS-Trading Standards informed
[Plant Name & Number],18/07/2016,On farm welfare,Poultry: Poultry,Welfare on farm,4,Other,"there was one lot of spent hens with a very poor feather condition, lacking almost completely of feathers in the lower part of the body. In addition the Food Chain Information accompanying the birds reported a 14 pc mortality rate to date, which is definitely too high, and it was explained by cannibalism.
Once called, the farmer said that the birds were pecking at each others in the earliest days because of large losses of feathers.
The feet were fine though, no footpad dermatitis lesions. Referred to TS, which liaises with AH for cases that happen in the plant",TS-Trading Standards informed
[Plant Name & Number],19/07/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,One sheep found dead at unloading,TS-Trading Standards informed
[Plant Name & Number],20/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,One bovine animal identified at post-mortem inspection with fully developed calf,TS-Trading Standards informed
[Plant Name & Number],20/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"Mature calf found during post-mortem inspection. Teeth erupted, eyelash, full coat and hard hooves. In the last stages of pregnancy",TS-Trading Standards informed
[Plant Name & Number],20/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,2 fully developed calves form same keeper,TS-Trading Standards informed
[Plant Name & Number],21/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI,TS-Trading Standards informed
[Plant Name & Number],22/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Weak animals,"Animal recumbent in lorry on arrival, managed to rise and walk unaided into lairage where it went down again. Animal covered in faeces, showed nosebleed and muscle tremors and was unable to rise again. FBO and FBO welfare officer present - decision was made to destroy animal in lairage.",TS-Trading Standards informed
[Plant Name & Number],22/07/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Overgrown hoof,Animal with a overgrown hooves (hind feet) holding the right foot sometimes due to the pain. He was walking with difficulty in 3 legs and was slaughtered as soon as possible. During the PMI clear and smelly infection between the hooves.,TS-Trading Standards informed
[Plant Name & Number],25/07/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Last stage of pregnancy,TS-Trading Standards informed
[Plant Name & Number],26/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,dead calf,TS-Trading Standards informed
[Plant Name & Number],26/07/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Down in lairaige purulent mastitis,TS-Trading Standards informed
[Plant Name & Number],27/07/2016,Captive bolt/concussio n/free bullet,Red Meat: Pigs,Maintenance of guns,3,No evidence for maintenance of guns,"non existence maintenance and no records of maintenance. unable to execute emergency slaughter.Animal had to be barrowed to the stunning pen as unable to use captive bolt. Although the animal did not suffer, the awaiting to be killed was unnecessarily prolonged.",ENF verbal advice
[Plant Name & Number],28/07/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,one calf fully developed,TS-Trading Standards informed
[Plant Name & Number],28/07/2016,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Injured animals,"Lame pig and with pain in one leg, unable to support weight on that leg.",TS-Trading Standards informed
[Plant Name & Number],29/07/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,animal unable to keep the weigh in the forelimbs; locomotors discomfort caused by an congenital malformation,APHA-Animal Health Office informed
[Plant Name & Number],01/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,2 calves found at PMI. Same keeper.,TS-Trading Standards informed
[Plant Name & Number],02/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,A fully developed calf found at PMI,TS-Trading Standards informed
[Plant Name & Number],02/08/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Bruised,At ante mortem inspection I identified a bovine animal ( [ID Number] DOB: 30.04.2009) with a big swelling on left side of the body. At post mortem inspection was identified large area of old trauma – extensive old bruising and hematoma with  tissue infiltrated  left/right side and peritonitis.  Carcase/offal total rejected. Carcase is detained for forward investigation.,APHA-Animal Health Office informed
[Plant Name & Number],03/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Calf at PMI,TS-Trading Standards informed
[Plant Name & Number],03/08/2016,Lairage design and maintenance,Red Meat: Pigs,Maintenance of the lairage,3,Not Applicable,"One pig managed to lift the gate bars and got trapped underneath unable to retrieve the neck.
although the pens are well kept maybe review the gate systems for the pens.
the animal underwent an emergency slaughter with bruised neck, it was an unavoidable incident.",ENF verbal advice
[Plant Name & Number],03/08/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,[ID Number] was identified at ante mortem inspection with severe lameness. The animal was sent to slaughter straight away.,APHA-Animal Health Office informed
[Plant Name & Number],04/08/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Poor animals/ suspect emaciation,ANIMAL EMACIATED WITH POOR CONDITION,APHA-Animal Health Office informed
[Plant Name & Number],05/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Other,Full pregnant cattle transported. Detected on the PM inspection. Animal did not show signal of distress,APHA-Animal Health Office informed
[Plant Name & Number],08/08/2016,Stunning / killing,Poultry: Poultry,Animal welfare officer’s checks and actions,3,No records for welfare checks available,Animal welfare records are not kept up to date,ENF verbal advice
[Plant Name & Number],08/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI,TS-Trading Standards informed
[Plant Name & Number],08/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Broken leg,Animal transported with the hind right leg broken at the metatarsus level.,TS-Trading Standards informed
[Plant Name & Number],08/08/2016,Handling and restraint,Red Meat: Cattle,Restraint,3,Other,Operative restraining cattle without having a licence,ENF written advice
[Plant Name & Number],09/08/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Accuracy,4,Inaccurate stun,"It was noted that the cattle with kill number 13 required 4 shots to be stunned, because the animal was too small for the stunning box and the head was loosely restrained by the head restraint, and the operative did not wait for it to calm down.The shots were completely out of the area supposed to be shot.",ENF written advice
[Plant Name & Number],09/08/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,One sheep found DOA at unloading.,TS-Trading Standards informed
[Plant Name & Number],09/08/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Poor animals/ suspect emaciation,"I was informed by lairage staff that in pen 9 are 6 cattle in poor condition. Immediately I carried out the ante mortem inspection and I notice that the animals are in poor condition.
- The bovine animal [ID Number] was in poor condition refuse to move and when she move was severe lame. On left front leg at knee level I notice an abscess and foot lesions on both legs, very big udder hard consistency and two wound on it. At post mortem inspection when  the udder was cut a large quantity of pus was leaked on the carcase. Carcase was total rejected (254.4Kg). Front legs and udder  detained for further investigation.
-The bovine animal [ID Number] was emaciated/poor condition on the body was identified some wound marks, diarrhoea, dirty with faecal on the back legs . The animal was rejected at ante mortem inspection.",APHA-Animal Health Office informed
[Plant Name & Number],10/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"[ID Number], born on 27/06/2007, late pregnancy, 92 cm foetus length, all external organs well developed. Teeth erupted.",TS-Trading Standards informed
[Plant Name & Number],11/08/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,70-99 % score 2 FPD on Aviemore farm various houses,APHA-Animal Health Office informed
[Plant Name & Number],12/08/2016,"Electronarcosis
/electrocution",Red Meat: Sheep,Effectiveness of stun,4,Stunning not effective,sheep showing signs of recovery after electrical stunning,ENF verbal advice
[Plant Name & Number],15/08/2016,Stunning / killing,Poultry: Poultry,Animal welfare officer’s checks and actions,3,No records for welfare checks available,Animal welfare officer records are not kept up to date,ENF written advice
[Plant Name & Number],15/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,2 Fully developed calves at PMI. Same keeper,TS-Trading Standards informed
[Plant Name & Number],15/08/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Emergency slaughter on farm received with 4 shots in head plus some in abnormal position,APHA-Animal Health Office informed
[Plant Name & Number],16/08/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Injured animals,Animal with  a considerable tumour. Transported with 4 more animals in the truck. Should be transported by itself,TS-Trading Standards informed
